 # state, capital, square km,population(millions) 
 Alabama,Montgomery,135767,4.8
 Alaska,Juneau,1723337,0.7
 Arizona,Phoenix,295234,6.6
 Arkansas,Little Rock,1377322,1.0
 California,Sacramento,423967,38.3
 Colorado,Denver,269601,5.2
 Connecticut,Hartford,14357,3.6
 Delaware,Dover,6446,0.9
 Florida,Tallahassee,170312,19.6
 Georgia,Atlanta,153910,10.0
 Hawaii,Honolulu,28313,1.4
 Idaho,Boise,216443,1.6
 Illinois,Springfield,149995,12.8
 Indiana,Indianapolis,94326,6.6
 Iowa,Des Moines,145746,3.1
 Kansas,Topeka,213100,2.9
 Kentucky,Frankfort,104656,4.4
 Louisiana,Baton Rouge,135659,4.6
 Maine,Augusta,91633,1.3
 Maryland,Annapolis,32131,5.9
 Massachusetts,Boston,27336,6.7
 Michigan,Lansing,250487,9.9
 Minnesota,St. Paul,225163,5.4
 Mississippi,Jackson,125438,3.0
 Missouri,Jefferson City,180540,6.0
 Montana,Helena,380000831,1.0
 Nebraska,Lincoln,200330,1.9
 Nevada,Carson City,286380,2.8
 New Hampshire,Concord,24214,1.3
 New Jersey,Trenton,22591,8.9
 New Mexico,Santa Fe,314917,2.0
 New York,Albany,141297,19.7
 North Carolina,Raleigh,139391,9.9
 North Dakota,Bismarck,183108,0.7
 Ohio,Columbus,116098,11.6
 Oklahoma,Oklahoma City,181037,3.9
 Oregon,Salem,254799,3.9
 Pennsylvania,Harrisburg,119280,12.8
 Rhode Island,Providence,4001,1.1
 South Carolina,Columbia,82993,4.8
 South Dakota,Pierre,199729,0.8
 Tennessee,Nashville,109153,6.5
 Texas,Austin,695662,26.4
 Utah,Salt Lake City,219882,2.9
 Vermont,Montpelier,24906,0.6
 Virginia,Richmond,119787,8.3
 Washington,Olympia,184661,7.0
 West Virginia,Charleston,62756,1.9
 Wisconsin,Madison,169635,5.7
 Wyoming,Cheyenne,253335,0.6
